VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 21:39:24,2016-01-01 22:28:58,1,7.48,-73.98413848876955,40.765098571777344,1,N,-73.98744201660156,40.763858795166016,1,29.5,0.5,0.5,0.0,0.0,0.3,30.8,,
2,2016-01-01 21:45:11,2016-01-01 22:25:21,1,11.73,-73.78878784179686,40.64210891723633,1,N,-73.91207885742188,40.70318984985352,2,38.0,0.5,0.5,0.0,0.0,0.3,39.3,,
1,2016-01-01 21:45:42,2016-01-01 22:26:32,1,21.5,-73.78368377685547,40.648597717285156,2,N,-73.98320770263672,40.771308898925774,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 21:47:15,2016-01-01 22:26:06,1,19.2,-73.77685546875,40.64588165283203,2,Y,-73.99813079833984,40.755897521972656,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:49:47,2016-01-01 22:28:58,2,13.61,-73.98816680908203,40.74846649169922,1,N,-73.83197021484375,40.71466445922852,2,41.0,0.5,0.5,0.0,0.0,0.3,42.3,,
1,2016-01-01 21:50:23,2016-01-01 22:27:11,1,17.0,-73.99192047119139,40.72575759887695,1,N,-73.90534210205078,40.88115692138672,2,49.5,0.5,0.5,0.0,0.0,0.3,50.8,,
1,2016-01-01 21:52:48,2016-01-01 22:25:32,4,20.9,-73.78199768066406,40.64473342895508,2,N,-73.96739959716798,40.802093505859375,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
2,2016-01-01 21:53:14,2016-01-01 22:27:08,5,22.02,-73.78263092041014,40.64461135864258,2,N,-73.98065185546875,40.78519058227539,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 21:54:06,2016-01-01 22:27:50,2,19.16,-73.7768020629883,40.645301818847656,1,N,-73.96370697021484,40.63750076293945,1,54.0,0.5,0.5,5.0,0.0,0.3,60.3,,
2,2016-01-01 21:54:17,2016-01-01 22:25:20,1,7.99,-74.0040054321289,40.73820877075195,1,N,-73.91292572021484,40.781150817871094,1,28.0,0.5,0.5,5.86,0.0,0.3,35.16,,
1,2016-01-01 21:54:44,2016-01-01 22:26:24,2,11.5,-73.86445617675781,40.77006912231445,1,N,-73.9853286743164,40.762123107910156,1,37.5,0.5,0.5,8.85,5.54,0.3,53.19,,
1,2016-01-01 21:54:51,2016-01-01 22:29:41,1,17.5,-73.78944396972656,40.64313888549805,2,N,-73.98490142822266,40.755859375,1,52.0,0.0,0.5,7.0,5.54,0.3,65.34,,
2,2016-01-01 21:55:08,2016-01-01 22:27:55,1,19.16,-73.7886734008789,40.64186096191406,2,N,-74.00895690917969,40.735450744628906,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 21:55:23,2016-01-01 22:27:03,6,5.9,-74.00585174560547,40.74029159545898,1,N,-73.94342803955078,40.69077682495117,1,24.5,0.5,0.5,5.16,0.0,0.3,30.96,,
1,2016-01-01 21:55:34,2016-01-01 22:28:45,1,15.1,-73.80656433105469,40.65300369262695,2,N,-73.97398376464845,40.74799728393555,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,,
2,2016-01-01 21:55:44,2016-01-01 22:25:41,1,12.47,-73.9830780029297,40.74457550048828,1,N,-73.91691589355469,40.88943862915039,2,37.5,0.5,0.5,0.0,2.54,0.3,41.34,,
2,2016-01-01 21:55:49,2016-01-01 22:25:31,1,5.07,-73.99435424804686,40.73207092285156,1,N,-73.97831726074219,40.76189041137695,1,21.5,0.5,0.5,4.56,0.0,0.3,27.36,,
2,2016-01-01 21:55:53,2016-01-01 22:27:49,1,17.12,-73.99123382568358,40.74728775024415,2,N,-73.78994750976562,40.64327621459961,1,52.0,0.0,0.5,12.0,5.54,0.3,70.34,,
2,2016-01-01 21:56:23,2016-01-01 22:26:55,4,4.15,-73.98099517822266,40.759193420410156,1,N,-74.01004791259766,40.711891174316406,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,,
1,2016-01-01 21:56:25,2016-01-01 22:25:41,1,19.1,-73.79143524169923,40.646480560302734,2,N,-73.98155975341797,40.77051544189453,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:56:32,2016-01-01 22:26:23,1,11.21,-73.8627700805664,40.76907730102539,1,N,-73.98873138427734,40.774017333984375,1,34.5,0.5,0.5,8.27,5.54,0.3,49.61,,
2,2016-01-01 21:56:49,2016-01-01 22:28:00,4,13.42,-73.86299896240234,40.76931381225585,1,N,-73.99459838867188,40.747779846191406,2,39.5,0.5,0.5,0.0,5.54,0.3,46.34,,
1,2016-01-01 21:56:49,2016-01-01 22:29:36,1,10.6,-73.97926330566406,40.782039642333984,1,N,-73.9293441772461,40.70048141479492,2,34.0,0.5,0.5,0.0,0.0,0.3,35.3,,
2,2016-01-01 21:56:52,2016-01-01 22:28:07,6,17.74,-73.78282165527344,40.64445114135742,2,N,-73.95297241210938,40.76634216308594,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0,,
1,2016-01-01 21:56:54,2016-01-01 22:25:23,1,7.7,-73.99710083007811,40.76022338867188,1,N,-73.96271514892578,40.68318176269531,1,26.5,0.5,0.5,5.55,0.0,0.3,33.35,,
2,2016-01-01 21:56:58,2016-01-01 22:26:12,1,5.95,-74.0027618408203,40.734275817871094,1,N,-73.93218994140625,40.76374816894531,1,23.5,0.5,0.5,3.0,0.0,0.3,27.8,,
2,2016-01-01 21:57:03,2016-01-01 22:26:22,2,11.74,-73.86346435546875,40.76967239379883,1,N,-73.96253967285155,40.65858840942383,1,35.5,0.5,0.5,7.36,0.0,0.3,44.16,,
1,2016-01-01 21:57:03,2016-01-01 22:25:20,1,12.0,-73.8744888305664,40.77407836914063,1,N,-73.98733520507811,40.76609420776367,1,35.5,0.5,0.5,6.66,5.54,0.3,49.0,,
2,2016-01-01 21:57:04,2016-01-01 22:25:40,1,4.52,-73.99156951904298,40.75893020629883,1,N,-73.9886474609375,40.72114944458008,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,,
1,2016-01-01 21:57:33,2016-01-01 22:27:14,2,21.1,-73.78975677490234,40.647239685058594,2,N,-73.92794036865234,40.86285781860352,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 21:57:35,2016-01-01 22:26:39,1,19.0,-73.78874206542969,40.64181900024415,2,N,-73.94831848144531,40.7740478515625,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
1,2016-01-01 21:57:58,2016-01-01 22:28:01,1,18.1,-73.79116821289062,40.646095275878906,1,N,-73.96330261230467,40.67200469970703,1,50.0,0.5,0.5,15.35,0.0,0.3,66.65,,
2,2016-01-01 21:58:00,2016-01-01 22:25:00,5,17.63,-73.783447265625,40.648658752441406,2,N,-73.9852523803711,40.74443054199219,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:58:24,2016-01-01 22:25:15,3,13.92,-73.94393920898438,40.80115127563477,1,N,-73.99067687988281,40.66069030761719,2,39.5,0.5,0.5,0.0,0.0,0.3,40.8,,
