VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 20:42:41,2016-01-01 21:58:17,2,4.47,-73.98877716064453,40.722068786621094,1,N,-73.96109008789062,40.77516174316406,1,15.5,0.5,0.5,1.0,0.0,0.3,17.8,,
2,2016-01-01 20:54:09,2016-01-01 21:58:25,3,4.52,-73.98893737792969,40.763450622558594,1,N,-73.98893737792969,40.763450622558594,2,35.5,0.5,0.5,0.0,0.0,0.3,36.8,,
2,2016-01-01 21:13:04,2016-01-01 21:58:17,1,19.83,-73.99215698242188,40.732078552246094,2,N,-73.75816345214845,40.674129486083984,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
2,2016-01-01 21:14:10,2016-01-01 21:57:34,1,10.14,-73.92903900146483,40.76283645629883,1,N,-73.99549865722656,40.76219177246094,1,37.0,0.5,0.5,4.0,0.0,0.3,42.3,,
1,2016-01-01 21:15:56,2016-01-01 21:55:54,1,14.0,-73.7898941040039,40.64384460449219,1,Y,-73.98197937011719,40.67033386230469,1,43.5,0.5,0.5,11.2,0.0,0.3,56.0,,
2,2016-01-01 21:16:09,2016-01-01 21:56:15,1,22.03,-73.78251647949219,40.64445877075195,1,N,-74.01676940917969,40.64239883422852,2,62.0,0.5,0.5,0.0,0.0,0.3,63.3,,
1,2016-01-01 21:18:22,2016-01-01 21:56:51,4,19.6,-73.77681732177734,40.64606094360352,2,N,-73.9823989868164,40.779869079589844,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
2,2016-01-01 21:18:35,2016-01-01 21:56:10,2,18.87,-73.77669525146483,40.645164489746094,2,N,-73.98033905029298,40.77913284301758,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,,
1,2016-01-01 21:20:08,2016-01-01 21:55:27,1,19.2,-73.79011535644531,40.6440315246582,2,N,-73.99502563476562,40.71712493896485,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 21:20:26,2016-01-01 21:55:32,3,10.74,-73.99555969238281,40.7523193359375,5,N,-74.04215240478516,40.708808898925774,2,48.0,0.0,0.5,0.0,10.5,0.3,59.3,,
1,2016-01-01 21:20:28,2016-01-01 21:55:40,2,17.1,-73.86281585693358,40.7686767578125,1,N,-74.0333023071289,40.63798522949219,1,49.5,0.5,0.5,10.15,0.0,0.3,60.95,,
2,2016-01-01 21:21:55,2016-01-01 21:56:29,1,16.18,-73.9576644897461,40.71780014038085,1,N,-73.88985443115234,40.65122604370117,1,46.5,0.5,0.5,0.0,0.0,0.3,47.8,,
1,2016-01-01 21:22:20,2016-01-01 21:57:52,2,26.4,-73.97055053710938,40.754798889160156,4,N,-73.68360900878906,40.9706916809082,1,94.5,0.5,0.5,0.0,7.29,0.3,103.09,,
2,2016-01-01 21:22:59,2016-01-01 21:56:38,5,21.22,-73.78204345703125,40.64468002319336,2,N,-74.01051330566406,40.70513153076172,1,52.0,0.0,0.5,5.0,0.0,0.3,57.8,,
2,2016-01-01 21:23:08,2016-01-01 21:59:56,1,14.34,-73.9837875366211,40.74955368041992,1,N,-73.9854965209961,40.60588073730469,1,43.0,0.5,0.5,11.08,0.0,0.3,55.38,,
2,2016-01-01 21:23:17,2016-01-01 21:58:21,1,13.41,-73.77674865722656,40.645606994628906,1,N,-73.98599243164062,40.68499755859375,1,40.5,0.5,0.5,10.45,0.0,0.3,52.25,,
1,2016-01-01 21:23:32,2016-01-01 21:59:00,3,21.2,-73.79058837890625,40.6436653137207,2,N,-74.0091781616211,40.72463989257813,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8,,
2,2016-01-01 21:24:06,2016-01-01 21:59:10,2,10.72,-73.98985290527344,40.72973251342773,1,N,-73.90512084960938,40.65946578979492,2,35.5,0.5,0.5,0.0,0.0,0.3,36.8,,
1,2016-01-01 21:24:11,2016-01-01 21:55:30,2,16.8,-73.7900161743164,40.64670944213867,2,N,-73.96147918701173,40.76445770263672,1,52.0,0.0,0.5,5.0,0.0,0.3,57.8,,
1,2016-01-01 21:24:11,2016-01-01 21:55:39,3,7.4,-73.97120666503906,40.782806396484375,1,N,-73.95818328857422,40.71061706542969,2,27.0,0.5,0.5,0.0,0.0,0.3,28.3,,
1,2016-01-01 21:24:17,2016-01-01 21:59:31,4,21.1,-73.7903823852539,40.6440658569336,2,N,-73.9716796875,40.78879165649415,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
