VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
1,2016-01-01 18:52:40,2016-01-01 20:15:53,4,18.3,-73.78995513916014,40.64692306518555,2,N,-73.98174285888672,40.76773071289063,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 19:12:24,2016-01-01 20:17:13,1,11.2,-73.9834976196289,40.76166534423828,1,N,-73.9466094970703,40.65030288696289,1,46.5,0.0,0.5,10.0,0.0,0.3,57.3,,
1,2016-01-01 19:13:18,2016-01-01 20:19:58,4,0.6,-73.98704528808595,40.7688865661621,1,N,-73.9972152709961,40.75376892089844,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,
2,2016-01-01 19:22:20,2016-01-01 20:15:04,1,23.34,-73.77667236328125,40.64538192749024,2,N,-73.98438262939453,40.76322937011719,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 19:25:52,2016-01-01 20:16:22,2,19.05,-73.78936004638672,40.64376831054688,2,N,-73.98448944091797,40.76063919067383,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 19:33:37,2016-01-01 20:18:44,2,12.32,-73.79049682617188,40.64413833618164,1,N,-73.91559600830078,40.74627685546875,1,42.0,0.0,0.5,5.0,0.0,0.3,47.8,,
2,2016-01-01 19:35:52,2016-01-01 20:16:49,2,16.27,-73.95204162597656,40.76876449584961,1,N,-74.03755187988281,40.61922073364258,2,49.0,0.0,0.5,0.0,0.0,0.3,49.8,,
1,2016-01-01 19:36:56,2016-01-01 20:15:36,1,17.5,-73.79021453857422,40.646934509277344,2,N,-73.98200225830078,40.76451110839844,1,52.0,0.0,0.5,11.0,0.0,0.3,63.8,,
2,2016-01-01 19:37:19,2016-01-01 20:17:57,5,20.86,0.0,0.0,2,N,0.0,0.0,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,,
2,2016-01-01 19:37:55,2016-01-01 20:19:01,2,7.54,-73.98966979980467,40.756511688232415,1,N,-73.97908020019531,40.66490173339844,1,30.0,0.0,0.5,9.24,0.0,0.3,40.04,,
2,2016-01-01 19:38:04,2016-01-01 20:17:21,1,13.72,-73.9941864013672,40.75122833251953,1,N,-73.92877197265625,40.855770111083984,2,43.5,0.0,0.5,0.0,0.0,0.3,44.3,,
1,2016-01-01 19:38:42,2016-01-01 20:16:22,4,19.0,-73.7895278930664,40.64327621459961,2,N,-73.98097991943358,40.76445770263672,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 19:39:06,2016-01-01 20:19:22,1,5.01,-73.99009704589844,40.73836135864258,1,N,-73.96734619140625,40.794960021972656,1,27.5,0.0,0.5,1.0,0.0,0.3,29.3,,
2,2016-01-01 19:40:18,2016-01-01 20:16:13,6,11.44,-73.87084197998048,40.77368927001953,1,N,-73.9917984008789,40.77061080932617,1,37.5,0.0,0.5,11.0,5.54,0.3,54.84,,
1,2016-01-01 19:40:30,2016-01-01 20:15:42,1,14.7,-73.79054260253906,40.64428329467773,1,N,-73.99874877929686,40.67654800415039,1,43.5,1.0,0.5,8.0,0.0,0.3,53.3,,
2,2016-01-01 19:40:44,2016-01-01 20:17:02,3,28.17,-73.789794921875,40.64368438720703,1,N,-73.98892211914062,40.688880920410156,1,74.5,0.0,0.5,5.0,0.0,0.3,80.3,,
2,2016-01-01 19:41:27,2016-01-01 20:17:48,1,18.96,-73.78204345703125,40.64482116699219,1,N,-73.91065216064453,40.819252014160156,1,53.5,0.0,0.5,14.96,5.54,0.3,74.8,,
2,2016-01-01 19:41:58,2016-01-01 20:15:18,3,12.83,-73.7901840209961,40.64712142944336,1,N,-73.94781494140625,40.64386367797852,2,38.5,0.0,0.5,0.0,0.0,0.3,39.3,,
2,2016-01-01 19:42:48,2016-01-01 20:16:33,1,18.49,-73.7768325805664,40.64594650268555,2,N,-73.9563751220703,40.774864196777344,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8,,
2,2016-01-01 19:42:54,2016-01-01 20:17:44,1,14.55,-73.77670288085938,40.645301818847656,1,N,-73.99461364746094,40.69781875610352,2,42.0,0.0,0.5,0.0,0.0,0.3,42.8,,
1,2016-01-01 19:43:02,2016-01-01 20:18:49,2,13.7,-73.78345489501955,40.64865493774415,1,N,-73.99384307861328,40.68557357788085,1,40.5,1.0,0.5,10.57,0.0,0.3,52.87,,
2,2016-01-01 19:43:08,2016-01-01 20:16:32,1,18.12,-73.78324127197266,40.6485595703125,2,N,-73.9960708618164,40.73294067382813,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,,
1,2016-01-01 19:43:39,2016-01-01 20:15:04,3,4.0,-73.97979736328125,40.77793884277344,1,N,-73.99130249023438,40.7430076599121,2,21.0,0.0,0.5,0.0,0.0,0.3,21.8,,
1,2016-01-01 19:44:08,2016-01-01 20:15:44,1,17.2,-73.78960418701173,40.64372253417969,2,N,-73.96574401855469,40.7627182006836,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8,,
