VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 06:18:44,2016-01-01 07:06:19,1,11.44,-74.00414276123048,40.74264907836913,1,N,-73.87986755371094,40.6613883972168,1,39.5,0.0,0.5,0.0,0.0,0.3,40.3,,
1,2016-01-01 06:24:01,2016-01-01 07:08:36,3,11.8,-73.9906692504883,40.75592422485352,1,N,-73.86204528808595,40.67919921875,1,38.0,0.0,0.5,7.75,0.0,0.3,46.55,,
2,2016-01-01 06:24:13,2016-01-01 07:07:37,1,6.21,-73.94258880615234,40.74700546264648,1,N,-73.92147827148438,40.7020378112793,1,26.5,0.0,0.5,0.0,0.0,0.3,27.3,,
1,2016-01-01 06:24:20,2016-01-01 07:08:38,1,11.9,-73.99496459960938,40.7554931640625,1,N,-73.9210205078125,40.69115447998047,3,41.0,0.0,0.5,0.0,0.0,0.3,41.8,,
2,2016-01-01 06:29:18,2016-01-01 07:05:44,1,16.21,-73.98487854003906,40.7240104675293,1,N,-73.90595245361328,40.90914916992188,1,47.5,0.0,0.5,12.71,2.54,0.3,63.55,,
2,2016-01-01 06:30:31,2016-01-01 07:08:20,1,13.72,-73.99478149414062,40.76583862304688,1,N,-73.86140441894531,40.7275390625,2,42.0,0.0,0.5,0.0,0.0,0.3,42.8,,
1,2016-01-01 06:32:39,2016-01-01 07:08:10,1,9.0,-73.92464447021484,40.75247573852539,1,N,-73.85740661621094,40.745643615722656,2,33.5,0.0,0.5,0.0,0.0,0.3,34.3,,
1,2016-01-01 06:32:55,2016-01-01 07:07:20,2,10.9,-73.98339080810547,40.72217559814453,1,N,-73.89112091064453,40.66452407836913,2,34.5,0.0,0.5,0.0,0.0,0.3,35.3,,
1,2016-01-01 06:33:46,2016-01-01 07:05:27,1,13.9,0.0,0.0,1,N,0.0,0.0,1,41.5,0.0,0.5,15.0,0.0,0.3,57.3,,
2,2016-01-01 06:33:47,2016-01-01 07:05:51,3,14.15,-73.98416137695312,40.725379943847656,1,N,-73.87471771240234,40.879070281982415,2,41.5,0.0,0.5,0.0,0.0,0.3,42.3,,
2,2016-01-01 06:34:13,2016-01-01 07:07:43,1,9.27,-73.99990844726562,40.73299026489258,1,N,-73.8635482788086,40.750526428222656,2,31.0,0.0,0.5,0.0,0.0,0.3,31.8,,
2,2016-01-01 06:34:46,2016-01-01 07:05:05,1,20.79,-73.78932189941406,40.64299011230469,2,N,-74.00495147705078,40.72124099731445,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
2,2016-01-01 06:34:48,2016-01-01 07:05:53,1,18.34,-73.96990966796875,40.75333786010742,3,N,-74.17794799804686,40.695560455322266,1,68.0,0.0,0.0,16.16,12.5,0.3,96.96,,
1,2016-01-01 06:35:04,2016-01-01 07:08:30,1,8.4,-73.99633026123048,40.7381248474121,1,N,-73.9944076538086,40.737319946289055,2,29.0,0.0,0.5,0.0,0.0,0.3,29.8,,
1,2016-01-01 06:35:09,2016-01-01 07:06:31,1,18.6,-73.96609497070312,40.80538558959961,2,N,-73.7852020263672,40.64551162719727,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
1,2016-01-01 06:35:11,2016-01-01 07:09:00,1,19.2,-73.77701568603516,40.6450424194336,1,N,-73.97148132324219,40.64123916625977,1,53.0,0.0,0.5,5.38,0.0,0.3,59.18,,
2,2016-01-01 06:35:13,2016-01-01 07:09:13,1,16.92,-73.9816665649414,40.75799179077149,1,N,-73.8615493774414,40.87921142578125,2,46.5,0.0,0.5,0.0,0.0,0.3,47.3,,
2,2016-01-01 06:35:16,2016-01-01 07:05:58,1,20.94,-73.77679443359375,40.64544677734375,2,N,-73.9363784790039,40.85299301147461,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
1,2016-01-01 06:35:52,2016-01-01 07:05:42,3,17.1,-73.9908676147461,40.73411178588867,1,N,-73.8680191040039,40.896766662597656,2,47.0,0.0,0.5,0.0,0.0,0.3,47.8,,
1,2016-01-01 06:35:55,2016-01-01 07:07:37,1,14.3,-73.98495483398438,40.736328125,1,N,-73.90349578857422,40.88522338867188,1,42.5,0.0,0.5,9.15,2.54,0.3,54.99,,
2,2016-01-01 06:36:31,2016-01-01 07:06:37,4,12.72,-73.78372192382812,40.6486701965332,1,N,-73.97953033447266,40.6733283996582,2,37.0,0.0,0.5,0.0,0.0,0.3,37.8,,
2,2016-01-01 06:36:37,2016-01-01 07:05:02,5,17.7,-73.97193145751955,40.75482940673828,3,N,-74.1819610595703,40.687721252441406,1,65.5,0.0,0.0,15.66,12.5,0.3,93.96,,
1,2016-01-01 06:37:12,2016-01-01 07:05:34,3,18.9,-73.95252227783203,40.77228164672852,2,N,-73.77639007568358,40.64533996582031,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,,
2,2016-01-01 06:37:23,2016-01-01 07:09:15,1,16.03,-73.99771881103516,40.76304244995117,1,N,-73.99854278564453,40.597023010253906,2,45.5,0.0,0.5,0.0,0.0,0.3,46.3,,
1,2016-01-01 06:37:23,2016-01-01 07:05:09,1,8.1,-73.9041748046875,40.7536735534668,1,N,-73.95242309570312,40.80231475830078,2,27.0,0.0,0.5,0.0,0.0,0.3,27.8,,
2,2016-01-01 06:37:28,2016-01-01 07:05:01,1,7.47,-73.99461364746094,40.75041961669922,1,N,-73.87716674804686,40.737468719482415,1,26.0,0.0,0.5,5.36,0.0,0.3,32.16,,
1,2016-01-01 06:37:57,2016-01-01 07:06:03,1,14.6,-73.94972229003906,40.71578598022461,1,N,-73.92031860351562,40.865699768066406,1,42.0,0.0,0.5,8.55,0.0,0.3,51.35,,
2,2016-01-01 06:38:05,2016-01-01 07:08:36,1,21.4,-74.0159912109375,40.71059036254883,2,N,-73.77693939208984,40.64471054077149,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,,
1,2016-01-01 06:38:15,2016-01-01 07:07:55,2,7.4,-73.9317398071289,40.689186096191406,1,N,-73.95697021484375,40.616714477539055,1,26.5,0.0,0.5,8.15,0.0,0.3,35.45,,
1,2016-01-01 06:38:28,2016-01-01 07:09:23,2,8.7,-73.98075866699219,40.73051452636719,1,N,-73.93669128417969,40.8196678161621,2,28.5,0.0,0.5,0.0,0.0,0.3,29.3,,
