VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 05:41:15,2016-01-01 06:50:53,4,3.92,-73.9821014404297,40.72810363769531,1,N,-73.99114990234375,40.70140075683594,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8,,
1,2016-01-01 05:59:47,2016-01-01 06:51:09,1,7.3,-73.98392486572266,40.73156356811523,1,N,-73.98373413085938,40.73186111450195,2,36.0,0.0,0.5,0.0,0.0,0.3,36.8,,
1,2016-01-01 06:05:32,2016-01-01 06:50:25,1,21.5,-73.98147583007811,40.76333618164063,1,N,-74.0838165283203,40.64659118652344,1,60.5,0.0,0.5,14.45,11.08,0.3,86.83,,
2,2016-01-01 06:11:24,2016-01-01 06:54:50,5,17.64,-73.98886108398438,40.75867080688477,1,N,-74.02558898925781,40.619529724121094,2,53.0,0.0,0.5,0.0,0.0,0.3,53.8,,
2,2016-01-01 06:11:41,2016-01-01 06:50:57,5,21.29,-73.97240447998048,40.757190704345696,2,N,-73.78279113769531,40.64887237548828,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 06:12:13,2016-01-01 06:51:24,1,15.55,-73.98313140869139,40.73073196411133,1,N,-73.9000015258789,40.834468841552734,2,47.5,0.0,0.5,0.0,0.0,0.3,48.3,,
2,2016-01-01 06:13:45,2016-01-01 06:52:11,2,9.61,-73.94769287109375,40.77909851074219,1,N,-73.9477310180664,40.77944946289063,1,34.0,0.0,0.5,10.44,0.0,0.3,45.24,,
2,2016-01-01 06:13:58,2016-01-01 06:50:48,1,21.46,-73.94605255126955,40.80799865722656,3,N,-74.17796325683594,40.69559860229492,2,75.0,0.0,0.0,0.0,12.5,0.3,87.8,,
1,2016-01-01 06:16:55,2016-01-01 06:53:24,3,9.4,-73.99989318847656,40.733131408691406,1,N,-73.9527359008789,40.65530395507813,2,32.5,0.0,0.5,0.0,0.0,0.3,33.3,,
2,2016-01-01 06:18:49,2016-01-01 06:52:14,4,11.09,-74.00316619873048,40.70859909057617,1,N,-73.9381332397461,40.817779541015625,1,35.0,0.0,0.5,8.95,0.0,0.3,44.75,,
2,2016-01-01 06:18:52,2016-01-01 06:52:41,1,19.2,0.0,0.0,1,N,0.0,0.0,1,54.0,0.0,0.5,5.8,0.0,0.3,60.6,,
2,2016-01-01 06:19:15,2016-01-01 06:54:40,3,12.0,-73.99331665039062,40.74147033691406,1,N,-73.89118957519531,40.82309341430664,2,37.5,0.0,0.5,0.0,0.0,0.3,38.3,,
2,2016-01-01 06:19:19,2016-01-01 06:51:40,5,20.25,0.0,0.0,2,N,0.0,0.0,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,,
2,2016-01-01 06:19:29,2016-01-01 06:50:27,5,17.31,-73.94947052001955,40.77273941040039,2,N,-73.78282928466798,40.64397048950195,1,52.0,0.0,0.5,10.0,0.0,0.3,62.8,,
2,2016-01-01 06:19:56,2016-01-01 06:52:54,1,14.12,-73.94158935546875,40.78762817382813,1,N,-73.91847991943358,40.67437744140625,2,42.0,0.0,0.5,0.0,0.0,0.3,42.8,,
