VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
1,2016-01-01 19:45:05,2016-01-01 21:20:46,1,13.3,-73.9886703491211,40.7309684753418,1,N,-73.98322296142578,40.73637008666992,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,,
1,2016-01-01 20:34:51,2016-01-01 21:20:00,3,22.6,-73.78879547119139,40.64202499389648,5,N,-74.0086212158203,40.78014755249024,2,0.0,0.0,0.0,0.0,16.04,0.3,16.34,,
2,2016-01-01 20:37:02,2016-01-01 21:21:25,1,7.16,-74.0139923095703,40.71271896362305,1,N,-73.97073364257811,40.7647705078125,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8,,
1,2016-01-01 20:38:34,2016-01-01 21:20:16,2,18.7,-73.78228759765625,40.64472579956055,2,N,-73.98442840576173,40.764076232910156,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
1,2016-01-01 20:42:58,2016-01-01 21:20:03,1,14.2,-73.7766876220703,40.645103454589844,1,N,-73.98103332519531,40.66572570800781,1,42.0,0.5,0.5,8.65,0.0,0.3,51.95,,
2,2016-01-01 20:43:08,2016-01-01 21:20:53,5,1.54,-73.97843933105469,40.75255966186523,1,N,-73.97796630859375,40.7522087097168,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,,
2,2016-01-01 20:43:47,2016-01-01 21:20:19,5,18.8,-73.78202819824219,40.64485549926758,2,N,-73.98749542236328,40.7636833190918,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 20:44:25,2016-01-01 21:20:48,1,16.33,-73.86622619628906,40.770591735839844,1,N,-73.94609832763672,40.62278747558594,2,48.0,0.5,0.5,0.0,0.0,0.3,49.3,,
2,2016-01-01 20:44:51,2016-01-01 21:20:01,1,22.96,-73.78810119628906,40.64154815673828,2,N,-74.01165771484375,40.71498107910156,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
2,2016-01-01 20:45:09,2016-01-01 21:22:00,4,2.46,-73.99436950683594,40.754051208496094,1,N,-73.98155212402342,40.758750915527344,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,,
1,2016-01-01 20:45:13,2016-01-01 21:21:03,1,10.9,-73.9957275390625,40.68747329711913,1,N,-73.96825408935547,40.792327880859375,1,38.5,0.5,0.5,0.0,0.0,0.3,39.8,,
1,2016-01-01 20:45:37,2016-01-01 21:20:55,2,17.6,-73.78340148925781,40.6485710144043,2,N,-73.99161529541014,40.75983810424805,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 20:45:47,2016-01-01 21:20:45,5,18.24,-73.78228759765625,40.64479064941406,2,N,-73.97025299072266,40.76056289672852,1,52.0,0.0,0.5,7.0,0.0,0.3,59.8,,
1,2016-01-01 20:46:46,2016-01-01 21:21:05,1,19.9,-73.7886734008789,40.64224624633789,2,N,-74.00757598876955,40.73267364501953,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35,,
1,2016-01-01 20:46:46,2016-01-01 21:21:55,3,11.7,-73.87447357177734,40.77396774291992,1,N,-73.99565887451173,40.75931167602539,2,39.0,0.5,0.5,0.0,5.54,0.3,45.84,,
1,2016-01-01 20:46:59,2016-01-01 21:20:32,2,11.7,-73.98599243164062,40.75895690917969,1,N,-73.90019989013672,40.85761260986328,2,37.0,0.5,0.5,0.0,0.0,0.3,38.3,,
