VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 15:58:02,2016-01-01 17:36:17,2,7.49,-73.97190856933594,40.75963973999024,1,N,-73.874267578125,40.77003860473633,2,54.0,0.0,0.5,0.0,0.0,0.3,54.8,,
2,2016-01-01 16:34:21,2016-01-01 17:36:45,5,0.6,-73.96082305908203,40.772987365722656,1,N,-73.95923614501955,40.76918029785156,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8,,
2,2016-01-01 16:50:33,2016-01-01 17:37:19,3,22.59,-73.98573303222656,40.760009765625,2,N,-73.7828826904297,40.64889144897461,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 16:50:36,2016-01-01 17:37:03,1,18.33,-73.78865051269531,40.64173889160156,2,N,-73.98873901367188,40.758689880371094,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 16:50:37,2016-01-01 17:37:33,1,11.04,-73.8635482788086,40.769798278808594,1,N,-74.00308227539062,40.74011993408203,1,39.0,0.0,0.5,7.96,0.0,0.3,47.76,,
2,2016-01-01 16:50:45,2016-01-01 17:36:26,2,17.99,-73.78726196289062,40.641300201416016,2,N,-73.98326110839844,40.75704574584961,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 16:52:47,2016-01-01 17:35:18,1,18.7,-73.78839874267578,40.64187622070313,2,N,-74.0043716430664,40.722843170166016,1,52.0,0.0,0.5,0.05,0.0,0.3,52.85,,
1,2016-01-01 16:53:12,2016-01-01 17:36:31,4,15.7,-73.97666931152342,40.75151062011719,3,N,-74.17717742919923,40.695125579833984,1,66.0,0.0,0.0,15.75,12.5,0.3,94.55,,
2,2016-01-01 16:54:28,2016-01-01 17:37:28,3,17.2,-73.991943359375,40.74958801269531,2,N,-73.9880599975586,40.74706268310547,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 16:54:29,2016-01-01 17:37:02,1,20.7,-73.7818603515625,40.6446647644043,1,Y,-73.9953384399414,40.68903350830078,1,56.0,0.0,0.5,5.6,0.0,0.3,62.4,,
2,2016-01-01 16:54:56,2016-01-01 17:36:21,2,19.09,-73.7822036743164,40.64468002319336,2,N,-73.98249816894531,40.7622299194336,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 16:55:00,2016-01-01 17:36:39,1,20.59,-73.7818832397461,40.644779205322266,2,N,-73.93528747558595,40.85358047485352,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
1,2016-01-01 16:55:06,2016-01-01 17:38:16,2,20.1,-73.77851867675781,40.646705627441406,2,N,-73.95973205566406,40.77192687988281,1,52.0,0.0,0.5,8.66,5.54,0.3,67.0,,
1,2016-01-01 16:55:20,2016-01-01 17:36:43,4,20.5,-73.78189849853516,40.644691467285156,2,N,-73.93717193603516,40.839542388916016,3,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
1,2016-01-01 16:55:25,2016-01-01 17:38:33,1,20.1,-73.78899383544923,40.64230346679688,2,N,-73.971435546875,40.7944564819336,1,52.0,0.0,0.5,2.0,5.54,0.3,60.34,,
2,2016-01-01 16:55:30,2016-01-01 17:35:07,1,10.58,-73.974853515625,40.78287124633789,1,N,-73.99122619628906,40.743179321289055,1,35.5,0.0,0.5,7.26,0.0,0.3,43.56,,
2,2016-01-01 16:55:52,2016-01-01 17:35:30,1,22.04,-73.96623992919923,40.804851531982415,5,N,-74.17733001708984,40.69514083862305,1,85.0,0.0,0.5,15.0,12.5,0.3,113.3,,
2,2016-01-01 16:56:31,2016-01-01 17:37:23,1,19.53,-73.98583221435547,40.75914001464844,2,N,-73.79415893554686,40.657020568847656,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
1,2016-01-01 16:56:39,2016-01-01 17:37:43,2,17.8,-73.78176116943358,40.64484786987305,2,N,-73.9717254638672,40.75703430175781,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
