VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 21:35:17,2016-01-01 22:36:46,1,0.26,-73.9745864868164,40.78752899169922,1,N,-73.96955108642578,40.78554153442383,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,
2,2016-01-01 21:48:20,2016-01-01 22:37:14,1,25.56,-73.99462127685547,40.766021728515625,1,N,-73.87125396728516,40.672950744628906,2,71.0,0.5,0.5,0.0,0.0,0.3,72.3,,
2,2016-01-01 21:50:42,2016-01-01 22:39:27,1,14.8,-73.79009246826173,40.647239685058594,1,N,-73.9867630004883,40.66522979736328,1,47.5,0.5,0.5,10.0,0.0,0.3,58.8,,
1,2016-01-01 21:53:54,2016-01-01 22:36:36,3,22.1,-73.78819274902342,40.64158630371094,2,N,-73.98882293701173,40.77778625488281,1,52.0,0.0,0.5,9.92,5.54,0.3,68.26,,
2,2016-01-01 21:56:28,2016-01-01 22:35:03,1,19.76,-73.77677917480467,40.64522171020508,2,N,-73.98876953125,40.771728515625,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,,
1,2016-01-01 21:58:19,2016-01-01 22:37:38,1,20.3,-73.79055023193358,40.642822265625,2,N,-73.98239135742188,40.77988815307617,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,,
1,2016-01-01 21:58:24,2016-01-01 22:38:46,1,13.1,-73.78997802734375,40.64371109008789,1,N,-73.98139953613281,40.682472229003906,2,41.5,0.5,0.5,0.0,0.0,0.3,42.8,,
2,2016-01-01 21:58:57,2016-01-01 22:37:12,2,21.51,-73.7821273803711,40.64469909667969,2,N,-73.9810562133789,40.78841018676758,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
1,2016-01-01 21:59:05,2016-01-01 22:39:43,1,6.0,-73.95237731933594,40.76500701904297,5,N,-74.03124237060547,40.74912643432617,1,70.0,0.0,0.0,14.06,0.0,0.3,84.36,,
1,2016-01-01 21:59:19,2016-01-01 22:35:57,1,24.8,-73.79035186767578,40.64419174194336,1,N,-74.01478576660156,40.63116836547852,1,65.5,0.5,0.5,5.0,0.0,0.3,71.8,,
