VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PULocationID,DOLocationID
2,2016-01-01 11:21:55,2016-01-01 12:40:11,6,36.53,-73.98222351074219,40.76197052001953,2,N,-73.98220825195312,40.76210021972656,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,
2,2016-01-01 11:36:11,2016-01-01 12:40:47,1,1.06,-74.0023880004883,40.74494552612305,1,N,-73.9986572265625,40.73723602294922,1,5.5,0.0,0.5,1.89,0.0,0.3,8.19,,
2,2016-01-01 12:03:47,2016-01-01 12:42:53,1,19.57,-73.9827423095703,40.76231002807617,2,N,-73.78028106689453,40.64535903930664,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 12:04:25,2016-01-01 12:41:22,1,17.92,-73.78575897216798,40.64642333984375,2,N,-73.99909973144531,40.76057052612305,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 12:04:43,2016-01-01 12:41:38,2,15.55,-73.9793701171875,40.749473571777344,1,N,-73.96810913085938,40.5794334411621,1,46.0,0.0,0.5,10.47,5.54,0.3,62.81,,
2,2016-01-01 12:04:43,2016-01-01 12:40:45,6,21.8,-73.7893829345703,40.642520904541016,2,N,-73.98136901855469,40.77436828613281,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
1,2016-01-01 12:05:53,2016-01-01 12:44:31,2,24.8,-73.92354583740234,40.775089263916016,1,N,-73.98149108886719,40.57636642456055,1,66.5,0.0,0.5,7.0,0.0,0.3,74.3,,
1,2016-01-01 12:05:56,2016-01-01 12:44:02,1,15.8,-73.91261291503906,40.76982116699219,1,N,-73.94186401367188,40.614784240722656,2,47.0,0.0,0.5,0.0,0.0,0.3,47.8,,
2,2016-01-01 12:07:28,2016-01-01 12:43:53,1,13.29,-73.998291015625,40.7608757019043,1,N,-73.93312072753906,40.619083404541016,1,41.0,0.0,0.5,9.47,5.54,0.3,56.81,,
2,2016-01-01 12:07:58,2016-01-01 12:40:30,1,8.8,-74.01416015625,40.71194076538085,1,N,-73.97384643554686,40.76427841186523,2,32.0,0.0,0.5,0.0,0.0,0.3,32.8,,
1,2016-01-01 12:08:32,2016-01-01 12:43:59,1,20.7,-73.98554992675781,40.778186798095696,2,N,-73.78192901611328,40.644290924072266,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 12:08:36,2016-01-01 12:40:24,1,21.21,-73.77657318115234,40.64537811279297,2,N,-73.93868255615234,40.852439880371094,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,,
1,2016-01-01 12:10:02,2016-01-01 12:43:00,1,8.6,-73.99638366699219,40.76663589477539,1,N,-73.87409973144531,40.747169494628906,1,29.5,0.0,0.5,0.0,0.0,0.3,30.3,,
2,2016-01-01 12:10:20,2016-01-01 12:43:00,3,15.05,-73.96627044677734,40.76490020751953,1,N,-73.9642562866211,40.60456848144531,1,43.0,0.0,0.5,5.0,5.54,0.3,54.34,,
2,2016-01-01 12:10:23,2016-01-01 12:40:30,1,17.89,-73.78996276855469,40.64379119873047,2,N,-73.99082946777342,40.75605010986328,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
2,2016-01-01 12:10:32,2016-01-01 12:41:44,1,7.76,-73.99172210693358,40.76389694213867,1,N,-73.95797729492188,40.721763610839844,2,27.0,0.0,0.5,0.0,0.0,0.3,27.8,,
1,2016-01-01 12:10:32,2016-01-01 12:42:30,1,12.9,-73.86623382568358,40.77096939086913,1,N,-73.99515533447266,40.76448059082031,2,39.0,0.0,0.5,0.0,5.54,0.3,45.34,,
2,2016-01-01 12:10:41,2016-01-01 12:42:50,1,13.13,-73.91715240478516,40.76263427734375,1,N,-73.9737548828125,40.669864654541016,2,40.0,0.0,0.5,0.0,0.0,0.3,40.8,,
2,2016-01-01 12:11:07,2016-01-01 12:44:46,1,19.84,-73.97332000732422,40.789981842041016,2,N,-73.78311157226562,40.64387893676758,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,,
