VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-01-01 07:52:57,2016-01-01 08:45:06,1,23.7,-73.87106323242188,40.77368927001953,1,N,-73.95481872558594,40.692649841308594,1,71.0,0.0,0.5,17.95,0.0,0.3,89.75
2,2016-01-01 07:53:25,2016-01-01 08:46:58,4,42.88,-74.00837707519531,40.7442512512207,5,N,-73.53861236572266,41.05627822875977,1,100.0,0.0,0.0,21.17,5.54,0.3,127.01
1,2016-01-01 08:01:31,2016-01-01 08:46:29,1,8.0,-73.99976348876955,40.72884368896485,1,N,-73.92899322509766,40.70831680297852,2,35.5,0.0,0.5,0.0,0.0,0.3,36.3
1,2016-01-01 08:08:22,2016-01-01 08:47:18,1,6.4,-73.94894409179686,40.75221633911133,1,N,-73.95855712890625,40.71570205688477,1,26.5,0.0,0.5,5.45,0.0,0.3,32.75
1,2016-01-01 08:09:16,2016-01-01 08:45:51,3,19.0,-74.0050277709961,40.736000061035156,2,N,-73.78207397460938,40.644325256347656,1,52.0,0.0,0.5,5.28,0.0,0.3,58.08
1,2016-01-01 08:09:22,2016-01-01 08:48:07,1,15.8,-73.96932220458984,40.78544235229492,2,N,-73.80609130859375,40.665733337402344,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
1,2016-01-01 08:11:01,2016-01-01 08:49:11,2,17.9,-73.94917297363281,40.82857131958008,2,N,-73.78258514404298,40.64408874511719,1,52.0,0.0,0.5,7.0,5.54,0.3,65.34
2,2016-01-01 08:12:01,2016-01-01 08:49:52,4,15.62,-73.78999328613281,40.646751403808594,2,N,-74.00711822509766,40.71741104125977,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
2,2016-01-01 08:13:00,2016-01-01 08:48:10,6,20.9,-73.97899627685547,40.7646713256836,2,N,-73.7835464477539,40.64656066894531,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 08:13:34,2016-01-01 08:48:24,3,10.31,-73.95661926269531,40.77148818969727,1,N,-73.98175811767578,40.674671173095696,2,34.5,0.0,0.5,0.0,0.0,0.3,35.3
2,2016-01-01 08:14:01,2016-01-01 08:47:46,1,23.78,-73.77754211425781,40.64674377441406,1,N,-73.90499877929686,40.88823318481445,1,63.0,0.0,0.5,13.87,5.54,0.3,83.21
1,2016-01-01 08:14:41,2016-01-01 08:46:37,4,17.2,-73.78058624267578,40.646297454833984,2,N,-73.97270965576173,40.756385803222656,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
1,2016-01-01 08:15:24,2016-01-01 08:45:26,2,19.7,-73.78192901611328,40.64438247680664,2,Y,-74.00212860107422,40.73308563232422,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
2,2016-01-01 08:15:30,2016-01-01 08:49:01,1,19.97,-73.87095642089844,40.77380752563477,1,N,-73.91434478759766,40.61702728271485,1,56.0,0.0,0.5,0.0,0.0,0.3,56.8
2,2016-01-01 08:15:41,2016-01-01 08:45:58,1,19.43,-73.95706939697266,40.76567840576172,2,N,-73.78343200683594,40.64374923706055,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
1,2016-01-01 08:16:10,2016-01-01 08:47:07,1,11.4,-73.78970336914062,40.646648406982415,1,N,-73.95388793945312,40.66419219970703,1,36.0,0.0,0.5,7.35,0.0,0.3,44.15
2,2016-01-01 08:16:12,2016-01-01 08:47:59,1,13.37,-73.98505401611328,40.68706512451172,1,N,-73.9760513305664,40.58071899414063,2,42.0,0.0,0.5,0.0,0.0,0.3,42.8
1,2016-01-01 08:16:21,2016-01-01 08:48:37,2,19.9,-74.00957489013672,40.70658493041992,2,N,-73.77627563476562,40.645423889160156,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
1,2016-01-01 08:16:42,2016-01-01 08:47:39,1,20.9,-73.78192901611328,40.64463806152344,2,N,-74.00959014892578,40.70607376098633,1,52.0,0.0,0.5,3.0,0.0,0.3,55.8
2,2016-01-01 08:17:00,2016-01-01 08:46:13,1,20.03,-73.7897186279297,40.64716339111328,2,N,-73.96696472167969,40.79866790771485,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 08:17:04,2016-01-01 08:46:32,1,18.59,-73.97592163085938,40.77888870239258,2,N,-73.78199005126955,40.6444206237793,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
1,2016-01-01 08:17:10,2016-01-01 08:45:35,1,13.6,-73.97805023193358,40.7525520324707,1,N,-74.03858947753906,40.6284408569336,2,39.0,0.0,0.5,0.0,0.0,0.3,39.8
2,2016-01-01 08:17:11,2016-01-01 08:49:43,5,17.92,-73.98882293701173,40.777748107910156,2,N,-73.78327178955078,40.64377975463867,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
2,2016-01-01 08:17:28,2016-01-01 08:47:27,1,8.23,-73.98893737792969,40.67007446289063,1,N,-73.89839935302734,40.674278259277344,2,28.0,0.0,0.5,0.0,0.0,0.3,28.8
2,2016-01-01 08:17:35,2016-01-01 08:46:50,1,18.37,-73.78907012939453,40.64305877685547,2,N,-73.98583984375,40.75856018066406,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
2,2016-01-01 08:17:55,2016-01-01 08:46:25,1,19.49,-73.7768020629883,40.64519119262695,1,N,-73.98580932617188,40.68732833862305,1,53.0,0.0,0.5,8.0,0.0,0.3,61.8
2,2016-01-01 08:18:11,2016-01-01 08:45:44,5,6.51,-73.88585662841797,40.73860931396485,1,N,-73.99388122558594,40.76189041137695,2,24.5,0.0,0.5,0.0,0.0,0.3,25.3
1,2016-01-01 08:18:14,2016-01-01 08:47:54,1,15.9,-73.99506378173827,40.76042938232422,2,N,-73.80746459960938,40.657093048095696,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 08:19:04,2016-01-01 08:49:56,1,13.15,-73.99248504638672,40.74558639526367,1,N,-74.02042388916014,40.649173736572266,1,39.5,0.0,0.5,8.06,0.0,0.3,48.36
2,2016-01-01 08:19:20,2016-01-01 08:46:57,6,18.17,-73.99510955810547,40.76034164428711,2,N,-73.78817749023438,40.64141082763672,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 08:19:42,2016-01-01 08:45:59,1,9.72,-73.77677917480467,40.64579391479492,1,N,-73.91989135742188,40.706016540527344,1,30.5,0.0,0.5,6.26,0.0,0.3,37.56
2,2016-01-01 08:20:16,2016-01-01 08:47:43,5,7.95,-74.0062484741211,40.73428726196289,1,N,-73.90691375732422,40.687686920166016,2,27.0,0.0,0.5,0.0,0.0,0.3,27.8
2,2016-01-01 08:20:31,2016-01-01 08:47:34,1,20.03,-73.78970336914062,40.6461181640625,2,N,-74.0077133178711,40.70492935180664,1,52.0,0.0,0.5,5.0,0.0,0.3,57.8
2,2016-01-01 08:21:00,2016-01-01 08:45:52,1,11.06,-73.9861602783203,40.72210311889648,1,N,-73.93730926513672,40.83928298950195,2,32.5,0.0,0.5,0.0,0.0,0.3,33.3
2,2016-01-01 08:21:05,2016-01-01 08:49:03,1,21.36,-73.77662658691406,40.645301818847656,2,N,-74.00779724121094,40.704978942871094,1,52.0,0.0,0.5,8.0,0.0,0.3,60.8
1,2016-01-01 08:21:17,2016-01-01 08:47:21,1,19.2,-73.77827453613281,40.64678192138672,1,N,-73.86286163330078,40.85520553588867,2,51.0,0.0,0.5,0.0,5.54,0.3,57.34
1,2016-01-01 08:21:26,2016-01-01 08:47:44,1,20.5,-73.77704620361328,40.64632034301758,2,N,-73.93624114990234,40.850433349609375,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
1,2016-01-01 08:21:35,2016-01-01 08:45:48,2,16.3,-73.972412109375,40.7553939819336,2,N,-73.79012298583984,40.646949768066406,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
1,2016-01-01 08:21:44,2016-01-01 08:46:40,1,16.9,-73.96031951904298,40.766544342041016,2,N,-73.7858123779297,40.643333435058594,1,52.0,0.0,0.5,3.0,0.0,0.3,55.8
2,2016-01-01 08:22:03,2016-01-01 08:46:33,1,16.57,-73.97251892089844,40.75521087646485,2,N,-73.79015350341797,40.64686965942383,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84
2,2016-01-01 08:23:07,2016-01-01 08:45:12,1,7.77,-73.97177124023438,40.79449844360352,1,N,-73.92764282226562,40.753719329833984,1,25.0,0.0,0.5,3.0,5.54,0.3,34.34
2,2016-01-01 08:23:29,2016-01-01 08:46:02,2,6.82,-73.98320770263672,40.76395034790039,1,N,-73.86956787109375,40.74942398071289,2,23.0,0.0,0.5,0.0,0.0,0.3,23.8
2,2016-01-01 08:23:46,2016-01-01 08:45:53,1,5.72,-74.00154113769531,40.741058349609375,1,N,-73.9430389404297,40.69371032714844,1,20.5,0.0,0.5,1.0,0.0,0.3,22.3
2,2016-01-01 08:24:22,2016-01-01 08:45:52,2,8.31,-73.92252349853516,40.74382019042969,1,N,-74.00494384765625,40.72324752807617,1,26.5,0.0,0.5,6.82,0.0,0.3,34.12
1,2016-01-01 08:24:25,2016-01-01 08:49:32,2,19.4,-73.79367828369139,40.6448974609375,2,N,-73.97148895263672,40.78373336791992,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89
2,2016-01-01 08:24:42,2016-01-01 08:49:22,1,17.89,-73.7768020629883,40.64567947387695,2,N,-73.99239349365234,40.7495002746582,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34
2,2016-01-01 08:24:46,2016-01-01 08:47:52,5,17.9,-73.97502136230467,40.76197814941406,2,N,-73.7818832397461,40.644378662109375,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
2,2016-01-01 08:24:54,2016-01-01 08:47:44,1,15.88,-73.77674865722656,40.64548873901367,1,N,-73.9514389038086,40.72662353515625,1,42.5,0.0,0.5,4.0,0.0,0.3,47.3
2,2016-01-01 08:25:15,2016-01-01 08:49:17,1,16.93,-73.78180694580078,40.64477157592773,2,N,-73.97177124023438,40.74483871459961,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
2,2016-01-01 08:25:25,2016-01-01 08:48:23,1,9.65,-73.79019165039062,40.64413833618164,1,N,-73.86466979980467,40.68072509765625,2,28.5,0.0,0.5,0.0,0.0,0.3,29.3
1,2016-01-01 08:25:51,2016-01-01 08:45:32,1,6.5,-73.9278793334961,40.70845031738281,1,N,-73.9547576904297,40.76746368408203,1,21.5,0.0,0.5,2.0,0.0,0.3,24.3
2,2016-01-01 08:25:56,2016-01-01 08:48:45,1,6.53,-73.98358917236328,40.73015975952149,1,N,-73.91918182373048,40.68770980834961,2,22.5,0.0,0.5,0.0,0.0,0.3,23.3
2,2016-01-01 08:25:59,2016-01-01 08:49:26,1,13.11,-73.78202056884766,40.64475631713867,1,N,-73.793212890625,40.762939453125,2,37.0,0.0,0.5,0.0,0.0,0.3,37.8
2,2016-01-01 08:26:05,2016-01-01 08:46:33,5,13.93,-74.01510620117188,40.71004104614258,1,N,-73.8619384765625,40.767276763916016,2,38.5,0.0,0.5,0.0,0.0,0.3,39.3
2,2016-01-01 08:26:13,2016-01-01 08:46:24,2,8.72,-73.98451232910156,40.73688125610352,1,N,-73.89621734619139,40.70889663696289,1,26.0,0.0,0.5,8.04,0.0,0.3,34.84
1,2016-01-01 08:26:17,2016-01-01 08:48:35,1,16.8,-73.9923095703125,40.74993133544922,3,N,-74.18199157714845,40.68765640258789,1,62.0,0.0,0.0,0.0,25.0,0.3,87.3
1,2016-01-01 08:26:43,2016-01-01 08:48:36,4,9.0,-73.98528289794923,40.74405288696289,1,N,-73.88124084472656,40.76663589477539,1,27.5,0.0,0.5,6.75,5.54,0.3,40.59
2,2016-01-01 08:26:46,2016-01-01 08:48:20,1,7.1,-73.94647216796875,40.7533073425293,1,N,-73.91806030273438,40.77418518066406,2,22.5,0.0,0.5,0.0,0.0,0.3,23.3
1,2016-01-01 08:26:48,2016-01-01 08:49:06,1,7.2,-73.97795104980467,40.75524139404297,1,N,-74.00960540771484,40.70193481445313,2,24.0,0.0,0.5,0.0,0.0,0.3,24.8
2,2016-01-01 08:26:54,2016-01-01 08:45:29,1,6.13,-73.98634338378906,40.7303581237793,1,N,-73.91413879394531,40.67914962768555,1,20.0,0.0,0.5,1.0,0.0,0.3,21.8
2,2016-01-01 08:27:13,2016-01-01 08:45:47,1,7.6,-73.97401428222656,40.73817443847656,1,N,-73.95942687988281,40.7902717590332,1,23.5,0.0,0.5,0.0,0.0,0.3,24.3
2,2016-01-01 08:27:40,2016-01-01 08:45:06,2,12.23,-73.86286163330078,40.76865005493164,1,N,-73.78028869628906,40.64561080932617,2,33.5,0.0,0.5,0.0,0.0,0.3,34.3
2,2016-01-01 08:27:50,2016-01-01 08:47:37,5,8.31,-73.96879577636719,40.764991760253906,1,N,-73.87832641601562,40.829078674316406,2,26.0,0.0,0.5,0.0,0.0,0.3,26.8
1,2016-01-01 08:27:53,2016-01-01 08:46:23,2,4.8,-73.98697662353516,40.72822952270508,1,N,-73.9229736328125,40.70827865600585,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8
2,2016-01-01 08:28:08,2016-01-01 08:46:33,1,7.44,-73.97595977783203,40.740478515625,1,N,-73.9424285888672,40.81821060180664,1,22.0,0.0,0.5,0.0,0.0,0.3,22.8
2,2016-01-01 08:28:15,2016-01-01 08:45:30,1,10.32,-73.98347473144531,40.72198867797852,1,N,-73.86188507080078,40.76851272583008,2,29.5,0.0,0.5,0.0,0.0,0.3,30.3
2,2016-01-01 08:28:23,2016-01-01 08:45:50,1,2.7,-74.00464630126955,40.73386001586913,1,N,-73.99098205566406,40.75590133666992,1,14.0,0.0,0.5,3.7,0.0,0.3,18.5
2,2016-01-01 08:28:49,2016-01-01 08:49:28,1,6.55,-73.90692901611328,40.7735710144043,1,N,-73.98226165771484,40.772159576416016,1,22.0,0.0,0.5,3.0,0.0,0.3,25.8
1,2016-01-01 08:28:53,2016-01-01 08:46:03,1,4.8,-73.95530700683594,40.81983184814453,1,N,-73.96952819824219,40.76302337646485,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
2,2016-01-01 08:28:59,2016-01-01 08:48:26,2,5.45,-73.98539733886719,40.763832092285156,1,N,-74.01683044433594,40.70479202270508,2,20.0,0.0,0.5,0.0,0.0,0.3,20.8
